Date,SPY,SPY_Volume,VOO,VOO_Volume,IVV,IVV_Volume,QQQ,QQQ_Volume,DIA,DIA_Volume
2021-04-07 19:18,405.67999267578125,21882511.0,372.8699951171875,1346057.0,407.1499938964844,1099731.0,330.80999755859375,14957347.0,333.6000061035156,1460707.0
2021-04-07 19:19,405.5799865722656,22037237.0,372.8699951171875,1350412.0,407.0899963378906,1106934.0,330.7349853515625,15010155.0,333.5799865722656,1465140.0
2021-04-07 19:20,405.6499938964844,22146789.0,372.875,1353523.0,407.1900024414063,1111261.0,330.8399963378906,15103072.0,333.6400146484375,1467626.0
2021-04-07 19:21,405.7300109863281,22400619.0,372.9400024414063,1359573.0,407.2149963378906,1124163.0,330.875,15171083.0,333.6199951171875,1480921.0
2021-04-07 19:22,405.8299865722656,22931958.0,373.0199890136719,1368742.0,407.3200073242188,1138195.0,330.9200134277344,15246984.0,333.739990234375,1484556.0
2021-04-07 19:23,405.7200012207031,23417008.0,372.95001220703125,1372355.0,407.2300109863281,1150750.0,331.02899169921875,15496537.0,333.6400146484375,1488648.0
2021-04-07 19:24,405.8901062011719,23698705.0,373.0997924804688,1382071.0,407.4100036621094,1162978.0,331.2099914550781,15551063.0,333.80999755859375,1494399.0
2021-04-07 19:25,405.9200134277344,23887315.0,373.1199951171875,1388527.0,407.45001220703125,1167363.0,331.0799865722656,15581467.0,333.739990234375,1498242.0
2021-04-07 19:26,405.7799987792969,24037548.0,373.0400085449219,1392268.0,407.239990234375,1171212.0,330.8900146484375,15642370.0,333.7200012207031,1501743.0
2021-04-07 19:27,405.75,24374449.0,372.9599914550781,1394467.0,407.260009765625,1178912.0,330.92999267578125,15660179.0,333.69000244140625,1510134.0
2021-04-07 19:28,405.662109375,24449477.0,372.9100036621094,1397631.0,407.1900024414063,1185766.0,330.8399963378906,15720259.0,333.6300048828125,1514194.0
2021-04-07 19:29,405.5799865722656,24633869.0,372.7699890136719,1402925.0,407.0700073242188,1193433.0,330.7250061035156,15769231.0,333.4800109863281,1522647.0
2021-04-07 19:30,405.5799865722656,24831057.0,372.7856140136719,1413707.0,407.0700073242188,1206575.0,330.760009765625,15880529.0,333.5799865722656,1529773.0
2021-04-07 19:31,405.70001220703125,25054876.0,372.8949890136719,1420752.0,407.2300109863281,1215661.0,330.8999938964844,15970166.0,333.5799865722656,1533695.0
2021-04-07 19:32,405.7999877929688,25475641.0,373.0050048828125,1424370.0,407.2999877929688,1221242.0,331.07000732421875,16242614.0,333.6650085449219,1538923.0
2021-04-07 19:33,405.7749938964844,25555346.0,372.9999084472656,1425887.0,407.2999877929688,1222569.0,330.9800109863281,16264010.0,333.6499938964844,1540852.0
2021-04-07 19:34,405.75,25614873.0,372.9700012207031,1427386.0,407.2789916992188,1226342.0,330.9800109863281,16289881.0,333.6105041503906,1543138.0
2021-04-07 19:35,405.7200012207031,25647480.0,372.95001220703125,1429196.0,407.25,1233464.0,331.02899169921875,16322294.0,333.57000732421875,1547803.0
2021-04-07 19:36,405.860107421875,25694837.0,373.0499877929688,1430099.0,407.3599853515625,1238266.0,331.1382141113281,16370379.0,333.689697265625,1551140.0
2021-04-07 19:37,405.8949890136719,25766970.0,373.1098937988281,1434602.0,407.4100036621094,1242621.0,331.14898681640625,16401407.0,333.70001220703125,1553702.0
2021-04-07 19:38,406.0450134277344,25922947.0,373.2192077636719,1437546.0,407.53350830078125,1250542.0,331.25,16474885.0,333.82000732421875,1558648.0
2021-04-07 19:39,406.0400085449219,26283981.0,373.2349853515625,1442284.0,407.5696105957031,1252976.0,331.2099914550781,16868235.0,333.8450012207031,1563809.0
2021-04-07 19:40,406.0299987792969,26353039.0,373.2300109863281,1445605.0,407.5499877929688,1255272.0,331.16009521484375,16897804.0,333.8699951171875,1565392.0
2021-04-07 19:41,405.95001220703125,26415723.0,373.20001220703125,1447779.0,407.4700012207031,1257975.0,331.05999755859375,16938423.0,333.8399963378906,1572338.0
2021-04-07 19:42,405.92999267578125,26444379.0,373.1650085449219,1450085.0,407.4800109863281,1259781.0,331.09991455078125,16959740.0,333.8399963378906,1573846.0
2021-04-07 19:43,406.0150146484375,26600183.0,373.1886901855469,1451527.0,407.5299987792969,1261909.0,331.05499267578125,16975849.0,333.9100036621094,1575373.0
2021-04-07 19:44,405.9400024414063,26661205.0,373.1449890136719,1455840.0,407.4700012207031,1269738.0,330.9800109863281,17021593.0,333.8800048828125,1580528.0
2021-04-07 19:45,405.9849853515625,26715138.0,373.1449890136719,1457018.0,407.5,1279904.0,330.9649963378906,17043334.0,333.9281921386719,1582819.0
2021-04-07 19:46,406.010009765625,26740873.0,373.1499938964844,1458497.0,407.5400085449219,1284302.0,331.0799865722656,17145361.0,333.8999938964844,1583750.0
2021-04-07 19:47,406.0700073242188,26794945.0,373.25,1460914.0,407.58929443359375,1287565.0,331.08990478515625,17168733.0,334.0199890136719,1590583.0
2021-04-07 19:48,406.1199951171875,27137915.0,373.30999755859375,1464316.0,407.6300048828125,1291028.0,331.1700134277344,17224567.0,334.04998779296875,1593325.0
2021-04-07 19:49,406.0249938964844,27206445.0,373.2200012207031,1468668.0,407.5400085449219,1295699.0,331.07000732421875,17277475.0,333.989990234375,1599634.0
2021-04-07 19:50,406.0180969238281,27281363.0,373.25,1474836.0,407.5499877929688,1300369.0,331.04998779296875,17307615.0,334.0,1601921.0
2021-04-07 19:51,406.1900024414063,27418742.0,373.3699951171875,1482115.0,407.70001220703125,1309607.0,331.17999267578125,17360638.0,334.1579895019531,1633270.0
2021-04-07 19:52,406.1791076660156,27478920.0,373.3399963378906,1487763.0,407.7085876464844,1311888.0,331.1600036621094,17378559.0,334.1400146484375,1634909.0
2021-04-07 19:53,406.1499938964844,27563882.0,373.3399963378906,1493842.0,407.67999267578125,1315962.0,331.1000061035156,17420871.0,334.1300048828125,1641939.0
2021-04-07 19:54,406.0899963378906,27739915.0,373.3399963378906,1504623.0,407.6210021972656,1327363.0,331.0,17468526.0,334.1000061035156,1652344.0
2021-04-07 19:55,406.1499938964844,27890296.0,373.2668151855469,1507596.0,407.6600036621094,1331711.0,330.9812927246094,17525303.0,334.1199951171875,1654626.0
2021-04-07 19:56,406.0700073242188,28128876.0,373.2532043457031,1515247.0,407.5899963378906,1349082.0,330.98089599609375,17568527.0,334.1271057128906,1671869.0
2021-04-07 19:58,406.0299987792969,28238589.0,373.239990234375,1528555.0,407.55999755859375,1357181.0,330.92999267578125,17610872.0,334.1300048828125,1679339.0
2021-04-07 19:59,406.1098937988281,28293202.0,373.2749938964844,1531094.0,407.6000061035156,1361215.0,330.94500732421875,17622100.0,334.20001220703125,1681366.0
2021-04-07 20:00,406.0499877929688,28340763.0,373.2442932128906,1534913.0,407.5400085449219,1366495.0,330.7799987792969,17644566.0,334.2200012207031,1683660.0
2021-04-07 20:01,406.135009765625,28435059.0,373.260009765625,1539078.0,407.67999267578125,1372758.0,330.8550109863281,17698446.0,334.32000732421875,1694900.0
